Chrom	Start	End	Strand	GSC Myeloid Panel	ICC/WHO?	UHN Myeloid Panel	Illumina TrueSight Myeloid Panel	LOD list	Gene name	Description	Tier	FDA-approved drugs (OncoKB)	WHO classification	ICC classification	Most common fusion	Partner genes/ variants	Typical clinical and BM manifestations	Targeted therapy	Disease	Prognosis	Additional cytogenetics
chr1	110338506	110346681	plus	No	Yes	Yes	No	No	RBM15	Gene fusion	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with RBM15::MRTFA fusion, (WHO, PMID: 35732831).	NA	MRTF1	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(1;22)(p13.3;q13.1) with a variant allele frequency (VAF) of [%]. The t(1;22)(p13.3;q13.1) is a rare, recurrent abnormality resulting in a RBM15::MRTF1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr1	155897808	155911349	minus	Expanded	No	No	No	No	RIT1	Exons, 2,, 4-5	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	23691806	23696835	plus	Expanded	No	No	No	No	RPL11	Exon, 3	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	128619968	128650818	minus	No	No	Yes	No	No	RPN1	FUS	1A if fused with PRDM16, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(1;3)(p36.3;q21.3) with a variant allele frequency (VAF) of [%]. The t(1;3)(p36.3;q21.3) is a rare, recurrent abnormality resulting in a PRDM16::RPN1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr20	63657810	63696253	plus	Expanded	No	No	No	Yes	RTEL1	NA	1B	None	NA	NA	NA	NA	NA	NA	MDS	Heterozygous RTEL variants have been associated with aplastic anemia, unexplained cytopenias and hypoplastic MDS (Marsh (2018) PMID:29344583). As a hereditary change, loss-of-function mutations in RTEL are associated with short telomere syndromes (NCCN Guideline - MDS 2023). A referral to the BCCA Hereditary Cancer Program may be warranted (http://www.screeningbc.ca/Hereditary/). This missense variant in RTEL has not been biochemically characterized in the literature but has been associated with a short telomere syndrome (REF). Heterozygous RTEL variants have been associated with aplastic anemia, unexplained cytopenias and hypoplastic MDS (Marsh (2018) PMID:29344583). As a hereditary change, loss-of-function mutations in RTEL are associated with short telomere syndromes (NCCN Guideline - MDS 2023). A referral to the BCCA Hereditary Cancer Program may be warranted (http://www.screeningbc.ca/Hereditary/).	NA
chr21	34787801	36004667	minus	Core	Yes	Yes	Yes	Yes	RUNX1	GOF	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with RUNX1::RUNX1T1 fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(8;21)(q22;q22.1)/RUNX1::RUNX1T1 = 10%; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	RUNXT1. MECOM	CBFA2T3	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a translocation t(8;21)(q22;q22.1) or t(3;21)(q26.2;q22.1) or t(16;21)(q24.3;q22.1) with a variant allele frequency (VAF) of [%]. t(8;21)(q22;q22.1) or t(3;21)(q26.2;q22.1) are recurrent abnormality resulting in a RUNX1::RUNX1T1 or RUNX1::MECOM fusion. In the context of AML it is considered to have a favourable prognosis for RUNX1::RUNXT1 fusion and adverse prognosis for RUNX1::MECOM fusion, mainly based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. The t(16;21)(q24.3;q22.1) is a rare, recurrent abnormality resulting in a RUNX1::CBFA2T3 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity with an unclear prognosis (PMID: 35767897). Concurrent KIT and/or FLT3 gene mutation does not alter risk categorization. Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463).	NA
chr8	91954967	92103286	minus	No	Yes	Yes	No	No	RUNX1T1	GOF	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with RUNX1::RUNX1T1 fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(8;21)(q22;q22.1)/RUNX1::RUNX1T1 = 10%; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(8;21)(q22;q22.1) with a variant allele frequency (VAF) of [%]. The t(8;21)(q22;q22.1) is a recurrent abnormality resulting in a RUNX1::RUNX1T1 fusion. In the context of AML it is considered to have a favourable favorable prognosis mainly based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. Concurrent KIT and/or FLT3 gene mutation does not alter risk categorization. Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
chr7	93099513	93118023	minus	Expanded	Yes	No	No	No	SAMD9	Mutated gene	1A	None	NA	Hematologic neoplasms with germline predisposition associated with a constitutional disorder affecting multiple organ systems; Myeloid neoplasms with germline SAMD9 mutation, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr7	93130056	93148385	minus	No	Yes	No	No	No	SAMD9L	Mutated gene	1A	None	NA	Hematologic neoplasms with germline predisposition associated with a constitutional disorder affecting multiple organ systems; Myeloid neoplasms with germline SAMD9L mutation, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr7	66987680	66995586	minus	Expanded	No	No	No	No	SBDS	NA	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr18	44680887	45068510	plus	Expanded	No	Yes	Yes	No	SETBP1	GOF	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	47016408	47164113	minus	Core	No	No	No	Yes	SETD2	NA	3A	None	NA	NA	NA	NA	NA	NA	AML, MDS	SETD2 mutations are identified in approximately 6% of AML cases. The predictive and prognostic significance of SETD2 mutations in AML remain uncertain. SETD2 mutations are rarely identified in MDS cases. The predictive and prognostic significance of SETD2 mutations in MDS remain uncertain.	NA
chr11	64764604	64778844	minus	Core	No	No	No	Yes	SF1	NA	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr22	30331988	30356894	minus	Core	No	No	No	No	SF3A1	NA	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	197388515	197435079	minus	Core	Yes	Yes	Yes	No	SF3B1	Mutated gene	1A	None	Classification and defining features of myelodysplastic neoplasms (MDS); MDS with low blasts and SF3B1 mutationa (MDS-SF3B1). Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2. Premalignant clonal cytopenias and myelodysplastic syndromes; Myelodysplastic syndrome with mutated SF3B1, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	Absence of 5q deletion, monosomy 7, or complex karyotype
chr12	111405922	111451623	plus	Core	No	Yes	No	No	SH2B3	LOF	1B for MPN, 3A for MDS, AML	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	SH2B3 mutations are associated with inferior overall survival, for MF-free survival, and in patients with ET (NCCN Guidelines - MPN 2022). Mutations in SH2B3 have been identified in <1% of MDS patients. The predictive and prognostic significance of SH2B3 in MDS remain uncertain. Mutations in SH2B3 are rarely identified in AML patients. The predictive and prognostic significance of SH2B3 in AML remain uncertain.	NA
chrX	53374149	53422728	minus	Core	No	No	Yes	No	SMC1A	NA	3A	None	NA	NA	NA	NA	NA	NA	AML	SMC1A mutations have been found in ~2% of AML patients (Metzeler (2016) PMID:27288520 ). Cohesin complex gene mutations have no clear prognostic impact in AML patients (Yi (2017) PMID:28924389; Thol (2014) PMID:24335498).	NA
chr10	110567691	110604634	plus	Core	No	No	Yes	No	SMC3	NA	3A	None	NA	NA	NA	NA	NA	NA	AML, MDS	SMC3 mutations are rare in AML cases. The predictive and prognostic significance of SMC3 mutations in AML remain uncertain but may depend on the presence of other cooperating mutations (Cuartero (2019) PMID: 31552185; Mazumdar (2017) PMID: 27796738). MC3 mutations are rare in MDS cases. The predictive and prognostic significance of SMC3 mutations in MDS remain uncertain and may depend on the presence of other cooperating mutations (Fisher (2017) PMID: 28626802).	NA
chr17	78356777	78360079	minus	Core	No	No	No	No	SOCS3	Exon, 2	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	54456326	54671446	plus	No	No	Yes	No	No	SPTBN1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4	56467617	56503681	plus	Expanded	No	No	No	No	SRP72	NA	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	76734115	76737333	minus	Core	Yes	Yes	Yes	Yes	SRSF2	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
chrX	123960212	124422664	plus	Core	Yes	Yes	Yes	Yes	STAG2	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
chr17	42313323	42388442	minus	No	No	Yes	No	No	STAT3	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	42287546	42311943	plus	No	No	Yes	No	No	STAT5a	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	42199176	42276391	minus	No	No	Yes	No	No	STAT5b	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	47250138	47314147	minus	No	No	Yes	No	No	STIL	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr11	3855664	4093208	plus	Expanded	No	No	No	No	STIM1	Exon, 7	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	36837697	36966536	minus	No	No	Yes	No	No	STRN	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	47216290	47232225	minus	No	No	Yes	No	No	TAL1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19	1609291	1652615	minus	No	Yes	Yes	No	No	TCF3	Gene fusion	1A if fused with PBX1, otherwise 3A	None	NA	Classification of B-ALL; B-ALL with t(1;19)(q23.3;p13.3)/TCF3::PBX1, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr3	169764609	169765060	minus	Expanded	No	Yes	No	Yes	TERC	LOFminush	1A	None	NA	NA	NA	NA	NA	NA	Myeloid	TERC variants are rarely identified as a somatic change in myeloid malignancies. As a germline change, TERC mutations are the cause autosomal dominant dyskeratosis congenita (Savage (2009) PMID:20301779). A referral to the BCCA Hereditary Cancer Program may be warranted (http://www.screeningbc.ca/Hereditary/).	NA
chr5	1253166	1295068	minus	Expanded	No	Yes	No	Yes	TERT	LOFminush	1A for MDS, 3A for AML	None	NA	NA	NA	NA	NA	NA	MDS	Somatic TERT variants are identified in ~1% of myeloid malignancies and are the cause autosomal dominant dyskeratosis congenita when identified in the germline (Basel-Vanagaite (2008) PMID:18460650). A referral to the BCCA Hereditary Cancer Program may be warranted (http://www.screeningbc.ca/Hereditary/).	NA
chr10	68560336	68694487	plus	No	No	Yes	No	Yes	TET1	FUS	1A if fused with KMT2A, otherwise 3A	None	NA	NA	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(10;11)(q21.3;q23.3) with a variant allele frequency (VAF) of [%]. The t(10;11)(q21.3;q23.3) is a recurrent abnormality resulting in a TET1::KMT2A fusion. In the context of AML it is considered to have a adverse favorable prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr4	105146875	105279803	plus	Core	No	Yes	Yes	Yes	TET2	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	TET2 mutations have been identified in approximately 10-20% of AML cases. In AML, a recent meta-analysis revealed TET2 mutations to be associated with inferior outcomes (Wang (2019) PMID:31023266). While TET2 mutations have been identified in approximately 20-25% of MDS cases, they have not been found to be a significant prognostic marker. Response to hypomethylating agents does however appear to be better in patients harbouring TET2 mutations (NCCN Guidelines - MDS 2023).	NA
chr17	7661779	7687538	minus	Core	Yes	Yes	Yes	Yes	TP53	Mutated gene	1A	None	Classification and defining features of myelodysplastic neoplasms (MDS).; MDS with biallelic TP53 inactivation (MDS-biTP53). Subtypes of myeloid neoplasms associated with germline predisposition; Myeloid neoplasms with germline predisposition without a pre-existing platelet disorder or organ dysfunction, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML and MDS/AML with mutated TP53† 10-19% (MDS/AML) and = 20% (AML). Hematologic neoplasms with germline predisposition without a constitutional disorder affecting multiple organ systems; Myeloid or lymphoid neoplasms with germline TP53 mutation. Premalignant clonal cytopenias and myelodysplastic syndromes; Myelodysplastic syndrome with mutated TP53. Premalignant clonal cytopenias and myelodysplastic syndromes; MDS/AML with mutated TP53, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a [INSERT REARRANGEMENT TYPE] on chromosome 17 involving the TP53 gene with a variant allele frequency of []. Loss of function structural variants in TP53 likely have an adverse prognosis (PMID: 28179279,27069254, 35797463)	Usually complex
chr15	43403060	43493156	minus	No	No	Yes	No	No	TP53BP1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19	10350532	10380572	minus	No	No	Yes	No	No	TYK2	GOF	1A if fused with NPM1, otherwise 3A	None	NA	NA	NPM1	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(5;19)(q35;p13) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a NPM1::TYK2 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (ICC, PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr21	43092956	43107570	minus	Core	Yes	Yes	Yes	No	U2AF1	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
chr19	55654050	55674716	plus	Core	No	No	No	No	U2AF2	NA	1B	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	U2AF1 variants have been identified in ~4% of AML patients (cBioPortal, TCGA dataset) wherein they are associated with inferior outcomes. The present identification of a U2AF1 mutation also supports a diagnosis of AML-MR (ELN Guidelines - AML 2022, NCCN Guidelines - AML 2023). U2AF1 mutations are observed in 8-12% of MDS cases where have been associated with inferior outcomes (NCCN Guidelines - MDS 2023). U2AF1 mutations are more common in patients with MF compared to those with ET and are generally not found in patients with PV (Delic (2016) PMID:27447873). In MPN, U2AF1 mutations are associated with an inferior outcome (NCCN Guidelines - MPN 2023).	NA
chrX	47193828	47215128	plus	No	No	Yes	No	No	UBA1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr11	119355214	119381690	minus	No	No	Yes	No	No	USP2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	39052015	39096664	plus	No	No	Yes	No	No	WDR48	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr11	32387774	32435539	minus	Core	No	Yes	Yes	Yes	WT1	LOF	1B for MDS, 3A for AML, MPN	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	In myeloid malignancies, disruption of WT1 promotes stem cell proliferation and leukemic transformation (Pronier (2018) PMID:30064973; Rampal (2016) PMID:27252512). WT1 mutations have been identified in approximately 10% of AML patients. Conflicting data exists regarding the prognostic or predictive significance of WT1 mutations in AML (Rampal (2016) PMID:27252512; Marcucci (2011) PMID:21220609). WT1 mutations are uncommon in MDS patients. In MDS, WT1 mutations are associated with a poor prognosis (NCCN Guidelines - MDS 2023) and with a higher risk of transformation to secondary AML (Makishima (2017) PMID:27992414). WT1 mutations are rarely identified in MPN patients. The predictive and prognostic significance of WT1 mutations in MPNs remain uncertain.	NA
chr13	19958726	20089115	plus	No	No	Yes	No	No	ZMYM2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6	87155564	87265943	plus	No	No	Yes	No	No	ZNF292	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	6666477	6689572	minus	No	Yes	Yes	No	No	ZNF384	Gene rearrangement	1A	None	NA	Classification of B-ALL; B-ALL with ZNF384(362) rearrangement; Provisional entity: B-ALL, ZNF384 rearranged-like, (ICC, PMID: 35767897).	EP300 (most common and good prognosis), TCF3, TAF15, CREBBP	NA	NA	NA	NA	Variable	NA
chrX	15790156	15830694	plus	Core	Yes	Yes	Yes	Yes	ZRSR2	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2, (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
Complex	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	1A	None	NA	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	In the context of AML the presence of a complex genome (i.e. karyotype) in associated with an adverse prognosis (PMID: 35797463).	NA
chr13	0	114364328	NA	NA	NA	Yes	NA	NA	-13 or del(13q)	Loss	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	NA	NA
chr7	0	159345973	NA	NA	NA	Yes	NA	NA	-7 or del(7q)	Loss	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a deletion 7q or monosomy 7 in [%] of the sample. In the context of a diagnosis of AML, deletion 7q is associated with an intermediate prognosis, monosomy 7 is associated with an adverse prognosis (PMID:35797463)	NA
chr11	53400000	135086622	NA	NA	NA	Yes	NA	NA	del(11q)	Deletion	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	NA	NA
chr12	0	35500000	NA	NA	NA	Yes	NA	NA	del(12p)	Deletion	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a deletion 12p overlapping the region with the ETV6 gene, in [%] of the sample.	NA
chr17	0	25100000	NA	NA	NA	Yes	NA	NA	del(17p)	Deletion	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a deletion 17p overlapping the region with the TP53 gene, in [%] of the sample. Deletion of TP53 is often seen in complex karyotypes and is associatd with a poor prognosis (PMID: 35797463).	NA
chr17	pter	qter	NA	NA	NA	Yes	NA	NA	monosomy 17	Loss	1A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a monosomy 17 in [%] of the sample. Monosomy of chromosome 17 is often seen in complex karyotypes and is associatd with a poor prognosis (PMID: 35797463).	NA
chr5	48800000	181538259	NA	NA	NA	Yes	NA	NA	del(5q) or -5	Deletion	1A	None	Classification and defining features of myelodysplastic neoplasms (MDS).; MDS with low blasts and isolated 5q deletion (MDS-5q). Premalignant clonal cytopenias and myelodysplastic syndromes; Myelodysplastic syndrome with del(5q) (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a deletion 5q or monosomy 5 in [%] of the sample. In the context of a diagnosis of AML, this is associated with an adverse prognosis (PMID:35797463)	NA
chrX	68500000	76800000	NA	NA	NA	Yes	NA	NA	idic(X)(q13)	Isodicentric	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a isodicentric chromosome Xq in [%] of the sample. idic(Xq) is recurrent abnormality in the context of myeloid neoplasia and in the context of a diagnosis of AML and is associated with an intermediate prognosis (PMID: 35797463)	NA
chr16	10400000	74100000	NA	NA	NA	Yes	NA	NA	inv(16)(p13.1q22)	Inversion	1A	None	NA	Classification of AML with percentage of blasts required for diagnosis; AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)/CBFB::MYH11 = 10% (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	NA	NA
chr3	126100000	171200000	NA	NA	NA	Yes	NA	NA	inv(3)(q21.3q26.2)	Inversion	1A	None	NA	Classification of AML with percentage of blasts required for diagnosis; AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2)/GATA2; MECOM(EVI1) = 10% (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	NA	NA
chr17	25100000	83257441	NA	NA	NA	Yes	NA	NA	Iso(17q)	Isochromosome	1A	None	Defining cytogenetic abnormalities in acute myeloid leukaemia, myelodysplasia-related.; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a loss of chromosome material on chromosome 17p with a concomitant copy number gain on chromosome 17q. This pattern is consisent with an isochromosome 17q with in [%] of the sample. Note that a 17p copy number reducation is consistent with loss of a TP53 allele.	NA
chr8	pter	qter	NA	NA	NA	Yes	NA	NA	trisomy 8	Gain	1A	None	NA	NA	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a trisomy 8 with a fractional copy number of []. Trisomy for chromosome 8 is recurrent abnormality in both de novo and treatment-related leukemia. In the context of a diagnosis of AML, trisomy 8 is associated with an intermediate prognosis (PMID:35797463)	NA
chr20	20q	20q	NA	NA	NA	Yes	NA	NA	Deletion 20q	Deletion	1A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
